symboling,make,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation
3,alfa-romero giulia,gas,std,two,convertible,rwd,
3,alfa-romero stelvio,gas,std,two,convertible,rwd,
1,alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,
2,audi 100 ls,gas,std,four,sedan,fwd,
2,audi 100ls,gas,std,four,sedan,4wd,
2,audi fox,gas,std,two,sedan,fwd,
1,audi 100ls,gas,std,four,sedan,fwd,
1,audi 5000,gas,std,four,wagon,fwd,
1,audi 4000,gas,turbo,four,sedan,fwd,
0,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,
2,bmw 320i,gas,std,two,sedan,rwd,
0,bmw 320i,gas,std,four,sedan,rwd,
0,bmw x1,gas,std,two,sedan,rwd,
0,bmw x3,gas,std,four,sedan,rwd,
1,bmw z4,gas,std,four,sedan,rwd,
0,bmw x4,gas,std,four,sedan,rwd,
0,bmw x5,gas,std,two,sedan,rwd,
0,bmw x3,gas,std,four,sedan,rwd,
2,chevrolet impala,gas,std,two,hatchback,fwd,
1,chevrolet monte carlo,gas,std,two,hatchback,fwd,
0,chevrolet vega 2300,gas,std,four,sedan,fwd,
1,dodge rampage,gas,std,two,hatchback,fwd,
1,dodge challenger se,gas,std,two,hatchback,fwd,
1,dodge d200,gas,turbo,two,hatchback,fwd,
1,dodge monaco (sw),gas,std,four,hatchback,fwd,
1,dodge colt hardtop,gas,std,four,sedan,fwd,
1,dodge colt (sw),gas,std,four,sedan,fwd,
1,dodge coronet custom,gas,turbo,two,sedan,fwd,
-1,dodge dart custom,gas,std,four,wagon,fwd,
3,dodge coronet custom (sw),gas,turbo,two,hatchback,fwd,
2,honda civic,gas,std,two,hatchback,fwd,
2,honda civic cvcc,gas,std,two,hatchback,fwd,
1,honda civic,gas,std,two,hatchback,fwd,
1,honda accord cvcc,gas,std,two,hatchback,fwd,
1,honda civic cvcc,gas,std,two,hatchback,fwd,
0,honda accord lx,gas,std,four,sedan,fwd,
0,honda civic 1500 gl,gas,std,four,wagon,fwd,
0,honda accord,gas,std,two,hatchback,fwd,
0,honda civic 1300,gas,std,two,hatchback,fwd,
0,honda prelude,gas,std,four,sedan,fwd,
0,honda accord,gas,std,four,sedan,fwd,
0,honda civic,gas,std,four,sedan,fwd,
1,honda civic (auto),gas,std,two,sedan,fwd,
0,isuzu MU-X,gas,std,four,sedan,rwd,
1,isuzu D-Max,gas,std,two,sedan,fwd,
0,isuzu D-Max V-Cross,gas,std,four,sedan,fwd,
2,isuzu D-Max,gas,std,two,hatchback,rwd,
0,jaguar xj,gas,std,four,sedan,rwd,
0,jaguar xf,gas,std,four,sedan,rwd,
0,jaguar xk,gas,std,two,sedan,rwd,
1,maxda rx3,gas,std,two,hatchback,fwd,
1,maxda glc deluxe,gas,std,two,hatchback,fwd,
1,mazda rx2 coupe,gas,std,two,hatchback,fwd,
1,mazda rx-4,gas,std,four,sedan,fwd,
1,mazda glc deluxe,gas,std,four,sedan,fwd,
3,mazda 626,gas,std,two,hatchback,rwd,
3,mazda glc,gas,std,two,hatchback,rwd,
3,mazda rx-7 gs,gas,std,two,hatchback,rwd,
3,mazda glc 4,gas,std,two,hatchback,rwd,
1,mazda 626,gas,std,two,hatchback,fwd,
0,mazda glc custom l,gas,std,four,sedan,fwd,
1,mazda glc custom,gas,std,two,hatchback,fwd,
0,mazda rx-4,gas,std,four,sedan,fwd,
0,mazda glc deluxe,diesel,std,four,sedan,fwd,
0,mazda 626,gas,std,four,hatchback,fwd,
0,mazda glc,gas,std,four,sedan,rwd,
0,mazda rx-7 gs,diesel,std,four,sedan,rwd,
-1,buick electra 225 custom,diesel,turbo,four,sedan,rwd,
-1,buick century luxus (sw),diesel,turbo,four,wagon,rwd,
0,buick century,diesel,turbo,two,hardtop,rwd,
-1,buick skyhawk,diesel,turbo,four,sedan,rwd,
-1,buick opel isuzu deluxe,gas,std,four,sedan,rwd,
3,buick skylark,gas,std,two,convertible,rwd,
0,buick century special,gas,std,four,sedan,rwd,
1,buick regal sport coupe (turbo),gas,std,two,hardtop,rwd,
1,mercury cougar,gas,turbo,two,hatchback,rwd,
2,mitsubishi mirage,gas,std,two,hatchback,fwd,
2,mitsubishi lancer,gas,std,two,hatchback,fwd,
2,mitsubishi outlander,gas,std,two,hatchback,fwd,
1,mitsubishi g4,gas,turbo,two,hatchback,fwd,
3,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,
3,mitsubishi g4,gas,std,two,hatchback,fwd,
3,mitsubishi outlander,gas,turbo,two,hatchback,fwd,
3,mitsubishi g4,gas,turbo,two,hatchback,fwd,
3,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,
1,mitsubishi montero,gas,std,four,sedan,fwd,
1,mitsubishi pajero,gas,std,four,sedan,fwd,
1,mitsubishi outlander,gas,turbo,four,sedan,fwd,
-1,mitsubishi mirage g4,gas,std,four,sedan,fwd,
1,Nissan versa,gas,std,two,sedan,fwd,
1,nissan gt-r,diesel,std,two,sedan,fwd,
1,nissan rogue,gas,std,two,sedan,fwd,
1,nissan latio,gas,std,four,sedan,fwd,
1,nissan titan,gas,std,four,wagon,fwd,
1,nissan leaf,gas,std,two,sedan,fwd,
1,nissan juke,gas,std,two,hatchback,fwd,
1,nissan latio,gas,std,four,sedan,fwd,
1,nissan note,gas,std,four,wagon,fwd,
2,nissan clipper,gas,std,two,hardtop,fwd,
0,nissan rogue,gas,std,four,hatchback,fwd,
0,nissan nv200,gas,std,four,sedan,fwd,
0,nissan dayz,gas,std,four,sedan,fwd,
0,nissan fuga,gas,std,four,wagon,fwd,
0,nissan otti,gas,std,four,sedan,fwd,
3,nissan teana,gas,std,two,hatchback,rwd,
3,nissan kicks,gas,turbo,two,hatchback,rwd,
1,nissan clipper,gas,std,two,hatchback,rwd,
0,peugeot 504,gas,std,four,sedan,rwd,
0,peugeot 304,diesel,turbo,four,sedan,rwd,
0,peugeot 504 (sw),gas,std,four,wagon,rwd,
0,peugeot 504,diesel,turbo,four,wagon,rwd,
0,peugeot 504,gas,std,four,sedan,rwd,
0,peugeot 604sl,diesel,turbo,four,sedan,rwd,
0,peugeot 504,gas,std,four,wagon,rwd,
0,peugeot 505s turbo diesel,diesel,turbo,four,wagon,rwd,
0,peugeot 504,gas,std,four,sedan,rwd,
0,peugeot 504,diesel,turbo,four,sedan,rwd,
0,peugeot 604sl,gas,turbo,four,sedan,rwd,
1,plymouth fury iii,gas,std,two,hatchback,fwd,
1,plymouth cricket,gas,turbo,two,hatchback,fwd,
1,plymouth fury iii,gas,std,four,hatchback,fwd,
1,plymouth satellite custom (sw),gas,std,four,sedan,fwd,
1,plymouth fury gran sedan,gas,std,four,sedan,fwd,
-1,plymouth valiant,gas,std,four,wagon,fwd,
3,plymouth duster,gas,turbo,two,hatchback,rwd,
3,porsche macan,gas,std,two,hatchback,rwd,
3,porcshce panamera,gas,std,two,hardtop,rwd,
3,porsche cayenne,gas,std,two,hardtop,rwd,
3,porsche boxter,gas,std,two,convertible,rwd,
1,porsche cayenne,gas,std,two,hatchback,rwd,
0,renault 12tl,gas,std,four,wagon,fwd,
2,renault 5 gtl,gas,std,two,hatchback,fwd,
3,saab 99e,gas,std,two,hatchback,fwd,
2,saab 99le,gas,std,four,sedan,fwd,
3,saab 99le,gas,std,two,hatchback,fwd,
2,saab 99gle,gas,std,four,sedan,fwd,
3,saab 99gle,gas,turbo,two,hatchback,fwd,
2,saab 99e,gas,turbo,four,sedan,fwd,
2,subaru,gas,std,two,hatchback,fwd,
2,subaru dl,gas,std,two,hatchback,fwd,
2,subaru dl,gas,std,two,hatchback,4wd,
0,subaru,gas,std,four,sedan,fwd,
0,subaru brz,gas,std,four,sedan,fwd,
0,subaru baja,gas,std,four,sedan,fwd,
0,subaru r1,gas,std,four,sedan,4wd,
0,subaru r2,gas,turbo,four,sedan,4wd,
0,subaru trezia,gas,std,four,wagon,fwd,
0,subaru tribeca,gas,std,four,wagon,fwd,
0,subaru dl,gas,std,four,wagon,4wd,
0,subaru dl,gas,turbo,four,wagon,4wd,
1,toyota corona mark ii,gas,std,two,hatchback,fwd,
1,toyota corona,gas,std,two,hatchback,fwd,
1,toyota corolla 1200,gas,std,four,hatchback,fwd,
0,toyota corona hardtop,gas,std,four,wagon,fwd,
0,toyota corolla 1600 (sw),gas,std,four,wagon,4wd,
0,toyota carina,gas,std,four,wagon,4wd,
0,toyota mark ii,gas,std,four,sedan,fwd,
0,toyota corolla 1200,gas,std,four,hatchback,fwd,
0,toyota corona,diesel,std,four,sedan,fwd,
0,toyota corolla,diesel,std,four,hatchback,fwd,
0,toyota corona,gas,std,four,sedan,fwd,
0,toyota corolla,gas,std,four,hatchback,fwd,
0,toyota mark ii,gas,std,four,sedan,fwd,
1,toyota corolla liftback,gas,std,two,sedan,rwd,
1,toyota corona,gas,std,two,hatchback,rwd,
1,toyota celica gt liftback,gas,std,two,sedan,rwd,
1,toyota corolla tercel,gas,std,two,hatchback,rwd,
2,toyota corona liftback,gas,std,two,hardtop,rwd,
2,toyota corolla,gas,std,two,hardtop,rwd,
2,toyota starlet,gas,std,two,hatchback,rwd,
2,toyota tercel,gas,std,two,hardtop,rwd,
2,toyota corolla,gas,std,two,hatchback,rwd,
2,toyota cressida,gas,std,two,convertible,rwd,
-1,toyota corolla,gas,std,four,sedan,fwd,
-1,toyota celica gt,diesel,turbo,four,sedan,fwd,
-1,toyota corona,gas,std,four,hatchback,fwd,
-1,toyota corolla,gas,std,four,sedan,fwd,
-1,toyota mark ii,gas,std,four,hatchback,fwd,
3,toyota corolla liftback,gas,std,two,hatchback,rwd,
3,toyota corona,gas,std,two,hatchback,rwd,
-1,toyota starlet,gas,std,four,sedan,rwd,
-1,toyouta tercel,gas,std,four,wagon,rwd,
2,vokswagen rabbit,diesel,std,two,sedan,fwd,
2,volkswagen 1131 deluxe sedan,gas,std,two,sedan,fwd,
2,volkswagen model 111,diesel,std,four,sedan,fwd,
2,volkswagen type 3,gas,std,four,sedan,fwd,
2,volkswagen 411 (sw),gas,std,four,sedan,fwd,
2,volkswagen super beetle,diesel,turbo,four,sedan,fwd,
2,volkswagen dasher,gas,std,four,sedan,fwd,
3,vw dasher,gas,std,two,convertible,fwd,
3,vw rabbit,gas,std,two,hatchback,fwd,
0,volkswagen rabbit,gas,std,four,sedan,fwd,
0,volkswagen rabbit custom,diesel,turbo,four,sedan,fwd,
0,volkswagen dasher,gas,std,four,wagon,fwd,
-2,volvo 145e (sw),gas,std,four,sedan,rwd,
-1,volvo 144ea,gas,std,four,wagon,rwd,
-2,volvo 244dl,gas,std,four,sedan,rwd,
-1,volvo 245,gas,std,four,wagon,rwd,
-2,volvo 264gl,gas,turbo,four,sedan,rwd,
-1,volvo diesel,gas,turbo,four,wagon,rwd,
-1,volvo 145e (sw),gas,std,four,sedan,rwd,
-1,volvo 144ea,gas,turbo,four,sedan,rwd,
-1,volvo 244dl,gas,std,four,sedan,rwd,
-1,volvo 246,diesel,turbo,four,sedan,rwd,
-1,volvo 264gl,gas,turbo,four,sedan,rwd,
